Alternative,G1,G2,G3,G4
Google_Pixel_9_Pro_XL,158,4000,5050,30
Oppo_Find_X8_Pro,157,4500,5000,80
Oppo_Find_X7_Ultra,157,4200,5000,100
Google_Pixel_9,154,3500,4700,30
Xiaomi_15_Ultra,153,5000,5000,120
Xiaomi_14_Ultra,149,4000,5000,90
Xiaomi_15,147,4000,4800,90
Motorola_Edge_50_Ultra,146,3400,4500,125
Samsung_Galaxy_S25_Ultra,146,6000,5000,45
Samsung_Galaxy_S24_Ultra,144,4100,5000,45
Google_Pixel_9a,143,2300,5100,30
Google_Pixel_9_Pro_Fold,141,7500,4650,45
Xiaomi_14,138,3800,4610,90
Google_Pixel_8a,136,2200,4492,18
Xiaomi_14T_Pro,135,3200,5000,120
Xiaomi_14T,134,2800,5000,67
Samsung_Galaxy_S24_FE,133,3000,4500,25
Samsung_Galaxy_Z_Fold6,133,8000,4400,25
Samsung_Galaxy_S24+,133,3500,4900,45
Samsung_Galaxy_S24,133,3000,4000,25
Samsung_Galaxy_Z_Flip6,132,5500,3700,25
Asus_Zenfone_11_Ultra,125,4000,5000,65
Xiaomi_Redmi_Note_14_Pro+,118,1800,5000,120
Motorola_Edge_50_Neo,115,1500,5000,68
Samsung_Galaxy_A55,108,1400,5000,25
